Feature,Mean_Abs_SHAP_Value
mfcc_16_std,0.00010957457136594603
mel_15_mean,0.00010915096371677825
mfcc_36_std,0.00010812043655833502
mel_83_std,0.0001072116853335905
mel_91_std,0.00010509373459019125
mel_80_std,0.00010382667612206173
mel_74_std,0.00010369508138790443
mfcc_35_std,0.0001024090991945994
mel_28_std,9.838868620959438e-05
mel_13_std,9.825634303082953e-05
mel_2_std,9.716819454794583e-05
mel_23_std,9.627654633105682e-05
mel_88_std,9.310320222738546e-05
mfcc_9_std,9.286752230168746e-05
mfcc_33_std,9.175292735617673e-05
mel_31_std,9.03375350998727e-05
mel_104_std,8.922470691156337e-05
mel_76_std,8.753292933432397e-05
mel_111_mean,8.51515705669136e-05
mel_118_std,8.506760253469535e-05
mel_109_std,8.501831530369909e-05
mel_106_std,8.486913377025039e-05
mel_63_std,8.472570184288477e-05
mel_65_std,8.472121554249946e-05
mel_98_std,8.397156626559397e-05
chroma_2_mean,8.396529631583434e-05
mel_22_std,8.395576230486076e-05
chroma_5_std,8.256932855181027e-05
mel_17_mean,8.248813699547788e-05
mel_119_mean,8.210955292931754e-05
mel_45_mean,7.976571487101937e-05
mel_125_std,7.776044464965934e-05
mel_83_mean,7.700236914540839e-05
mel_66_std,7.611368724593298e-05
mfcc_29_std,7.533796332599124e-05
mel_46_mean,7.400041008769752e-05
